Author / creator,Research batch,Corpus rows,Unresolved item,Coverage status
Abraham Lincoln,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Adam Smith,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Aeschylus,"Classical, patristic, and medieval audit",5,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Albert Einstein,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Albert Murray,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Alessandro Volta,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Alexis de Tocqueville,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Amedeo Avogadro,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
André-Marie Ampère,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Andrew Marvell,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Anne Bradstreet,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Anne Locke,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Anonymous biblical authors,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Anonymous liturgical text,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Anonymous Pearl Poet,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Anonymous/collective constitutional authors,Audited authors A–F,4,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Anonymous/TAC,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Anselm of Canterbury,"Classical, patristic, and medieval audit",2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Antoine Lavoisier,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Aphra Behn,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Apollonius of Perga,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Archimedes,"Classical, patristic, and medieval audit",3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Aristophanes,"Classical, patristic, and medieval audit",10,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Aristotle,"Classical, patristic, and medieval audit",22,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Arthur Rimbaud,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Athanasius of Alexandria,"Classical, patristic, and medieval audit",2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Augustine of Hippo,"Classical, patristic, and medieval audit",44,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Baruch Spinoza,Early-modern and modern audit,10,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Benjamin Franklin,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Blaise Pascal,Early-modern and modern audit,13,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
